#
# electrodes labels should be upper case by definition to allow a proper matching of electrodes and channel labels.
# File generated by electrodes export feature.
#
# 256 electrodes
NumberPositions=	256
UnitPosition	mm
HSPTransformed	false
Positions
R2H :	40.9	-80.5	5.4	
R3H :	26.8	-83.2	10.4	
R4H :	-34.7	-78.3	2.5	
R5H :	-54.0	-68.2	-2.5	
Z11Z:	-29.0	-3.6	142.7	
Z12Z:	-47.6	-3.3	132.8	
Z13Z:	-62.3	-4.2	116.6	
Z14Z:	-76.0	-5.6	100.7	
Z15Z:	-84.3	-5.4	79.9	
Z16Z:	-90.8	-4.9	61.5	
Z17Z:	-92.2	-6.4	46.7	
Z18Z:	-92.8	-6.7	31.0	
Z19Z:	-95.2	-7.5	18.0	
Z20Z:	-96.6	-5.6	4.1	
Labels
Z1L	Z2L	Z3L	Z4L	Z5L	Z6L	Z7L	Z8L	Z9L	Z10L	Z11L	Z12L	Z13L	Z14L	Z15L	Z16L	Z17L	Z18L	Z19L	L1Z	L2Z	L3Z	L4Z	L5Z	L6Z	L7Z	L8Z	L9Z	L10Z	L11Z	L12Z	L13Z	L14Z	L15Z	L16Z	L17Z	L18Z	L19Z	L20Z	L1L	L2L	L3L	L4L	L5L	L6L	L7L	L8L	L9L	L10L	L11L	L12L	L13L	L14L	L15L	L16L	L17L	L18L	L19L	L1A	L2A	L3A	L4A	L5A	L6A	L1B	L2B	L3B	L4B	L5B	L6B	L7B	L1C	L2C	L3C	L4C	L5C	L6C	L7C	L8C	L1D	L2D	L3D	L4D	L5D	L6D	L7D	L8D	L9D	L1E	L2E	L3E	L4E	L5E	L6E	L7E	L8E	L9E	L10E	L1F	L2F	L3F	L4F	L5F	L6F	L7F	L8F	L1G	L2G	L3G	L4G	L5G	L6G	L7G	L1H	L2H	L3H	L4H	L5H	Z1Z	Z2Z	Z3Z	Z4Z	Z5Z	Z6Z	Z7Z	Z8Z	Z9Z	Z10Z	Z1R	Z2R	Z3R	Z4R	Z5R	Z6R	Z7R	Z8R	Z9R	Z10R	Z11R	Z12R	Z13R	Z14R	Z17R	Z15R	Z16R	Z18R	Z19R	R1Z	R2Z	R3Z	R4Z	R5Z	R6Z	R7Z	R8Z	R9Z	R10Z	R11Z	R12Z	R13Z	R14Z	R15Z	R16Z	R17Z	R18Z	R19Z	R20Z	R1R	R2R	R3R	R4R	R5R	R6R	R7R	R8R	R9R	R10R	R11R	R12R	R13R	R14R	R15R	R16R	R17R	R18R	R19R	R1A	R2A	R3A	R4A	R5A	R6A	R1B	R2B	R3B	R4B	R5B	R6B	R7B	R1C	R2C	R3C	R4C	R5C	R6C	R7C	R8C	R1D	R2D	R3D	R4D	R5D	R6D	R7D	R8D	R9D	R1E	R2E	R3E	R4E	R5E	R6E	R7E	R8E	R9E	R10E	R1F	R2F	R3F	R4F	R5F	R6F	R7F	R8F	R1G	R2G	R3G	R4G	R5G	R6G	R7G	R1H	R2H	R3H	R4H	R5H	Z11Z	Z12Z	Z13Z	Z14Z	Z15Z	Z16Z	Z17Z	Z18Z	Z19Z	Z20Z	
